2024-08-28 14:23:20; 2024-08-28; 14:23:20.136074; [0] PING; 14:23:20.136074; [0]/[0] PING PONG
2024-08-28 14:23:22; 2024-08-28; 14:23:22.486863; [1] PING; 14:23:22.486863; [1]/[1] PING PONG
2024-08-28 14:23:23; 2024-08-28; 14:23:23.597916; [2] PING; 14:23:23.597916; [2]/[2] PING PONG
2024-08-28 14:23:24; 2024-08-28; 14:23:24.530647; [3] PING; 14:23:24.530647; [3]/[3] PING PONG
2024-08-28 14:23:27; 2024-08-28; 14:23:27.424876; [4] PING; 14:23:27.424876; [4]/[4] PING PONG
2024-08-28 14:23:28; 2024-08-28; 14:23:28.929717; [5] PING; 14:23:28.929717; [5]/[5] PING PONG
2024-08-28 14:23:30; 2024-08-28; 14:23:30.650128; [6] PING; 14:23:30.650128; [6]/[6] PING PONG
2024-08-28 14:23:50; 2024-08-28; 14:23:50.691642; [0] PING; 14:23:50.691642; [0]/[0] PING PONG
2024-08-28 14:23:53; 2024-08-28; 14:23:53.585484; [1] PING; 14:23:53.585484; [1]/[1] PING PONG
2024-08-28 14:23:54; 2024-08-28; 14:23:54.538461; [2] PING; (проигнорировано)
2024-08-28 14:23:57; 2024-08-28; 14:23:57.602651; [3] PING; 14:23:57.602651; [2]/[3] PING PONG
2024-08-28 14:23:59; 2024-08-28; 14:23:59.542547; [4] PING; 14:23:59.542547; [3]/[4] PING PONG
2024-08-28 14:24:00; 2024-08-28; 14:24:00.880298; [5] PING; 14:24:00.880298; [4]/[5] PING PONG
2024-08-28 14:24:00; 2024-08-28; 14:24:00.880298; [6] PING; (проигнорировано)
2024-08-28 14:24:03; 2024-08-28; 14:24:03.643823; [7] PING; 14:24:03.643823; [5]/[7] PING PONG
2024-08-28 14:24:42; 2024-08-28; 14:24:42.003229; [0] PING; 14:24:42.003229; [0]/[0] PING PONG
2024-08-28 14:24:45; 2024-08-28; 14:24:45.172835; [1] PING; 14:24:45.172835; [1]/[1] PING PONG
2024-08-28 14:24:47; 2024-08-28; 14:24:47.688712; [2] PING; 14:24:47.688712; [2]/[2] PING PONG
2024-08-28 14:24:50; 2024-08-28; 14:24:50.220959; [3] PING; 14:24:50.220959; [3]/[3] PING PONG
2024-08-28 14:24:53; 2024-08-28; 14:24:53.225452; [4] PING; 14:24:53.225452; [4]/[4] PING PONG
